timestamp,frame,persons,persons_raw,fps,sampling_rate_hz,response_time_ms,avg_landmarks,hyst_enabled,hyst_m_in,hyst_m_out,hyst_window
1766077605.4939368,97,0,0,11.44179879871252,11.44179879871252,99.32184219360352,0,1,3,5,5
1766077605.592454,98,0,0,11.503089992793885,11.503089992793885,82.95512199401855,0,1,3,5,5
1766077605.693634,99,0,0,11.520951354662975,11.520951354662975,85.60395240783691,0,1,3,5,5
1766077605.790889,100,0,0,11.57840850965275,11.57840850965275,82.67521858215332,0,1,3,5,5
1766077605.89068,101,0,0,11.604502984486022,11.604502984486022,84.46407318115234,0,1,3,5,5
1766077605.988374,102,0,0,11.660480522060679,11.660480522060679,82.20791816711426,0,1,3,5,5
1766077606.087878,103,0,0,11.68285960392407,11.68285960392407,84.14483070373535,0,1,3,5,5
1766077606.187916,104,0,0,11.692596707967159,11.692596707967159,84.88798141479492,0,1,3,5,5
1766077606.2882318,105,0,0,11.700223032849333,11.700223032849333,84.96999740600586,0,1,3,5,5
1766077606.390368,106,0,0,11.680431225191702,11.680431225191702,86.93909645080566,0,1,3,5,5
1766077606.486261,107,0,0,11.755115386173959,11.755115386173959,80.46817779541016,0,1,3,5,5
1766077606.6591868,108,0,0,11.213514873695562,11.213514873695562,157.75084495544434,0,1,3,5,5
1766077606.75354,109,0,0,11.354439592308292,11.354439592308292,79.22196388244629,0,1,3,5,5
1766077606.856298,110,0,0,11.362215988229623,11.362215988229623,87.47220039367676,0,1,3,5,5
1766077606.9552588,111,0,0,11.428251970332454,11.428251970332454,83.17685127258301,0,1,3,5,5
1766077607.055115,112,0,0,11.464363726949038,11.464363726949038,84.82217788696289,0,1,3,5,5
1766077607.159528,113,0,0,11.439306063505507,11.439306063505507,89.17593955993652,0,1,3,5,5
1766077607.2562208,114,0,0,11.521873378049527,11.521873378049527,81.53295516967773,0,1,3,5,5
1766077607.359615,115,0,0,11.509352751291802,11.509352751291802,87.74495124816895,0,1,3,5,5
1766077607.4593449,116,0,0,11.539655348511436,11.539655348511436,84.65695381164551,0,1,3,5,5
1766077607.556298,117,0,0,11.608889850989394,11.608889850989394,81.75277709960938,0,1,3,5,5
1766077607.6568918,118,0,0,11.626924564643033,11.626924564643033,84.8231315612793,0,1,3,5,5
1766077607.757285,119,0,0,11.641954164578374,11.641954164578374,84.90967750549316,0,1,3,5,5
1766077607.857395,120,0,0,11.654908982467033,11.654908982467033,84.95092391967773,0,1,3,5,5
1766077607.959455,121,0,0,11.644978782575826,11.644978782575826,86.53807640075684,0,1,3,5,5
1766077608.057707,122,0,0,11.686288138637273,11.686288138637273,82.9319953918457,0,1,3,5,5
1766077608.159541,123,0,0,11.67784841580334,11.67784841580334,86.19284629821777,0,1,3,5,5
1766077608.2589371,124,0,0,11.699137586872656,11.699137586872656,84.09905433654785,0,1,3,5,5
1766077608.3579571,125,0,0,11.727486844138218,11.727486844138218,83.45413208007812,0,1,3,5,5
1766077608.458436,126,0,0,11.728449381649993,11.728449381649993,85.19983291625977,0,1,3,5,5
1766077608.559028,127,0,0,11.733210768518965,11.733210768518965,84.91802215576172,0,1,3,5,5
1766077608.656733,128,0,0,11.774897455102447,11.774897455102447,82.30400085449219,0,1,3,5,5
1766077608.7583702,129,0,0,11.77462732625171,11.77462732625171,84.9459171295166,0,1,3,5,5
1766077608.861503,130,0,0,11.736806531801234,11.736806531801234,87.74685859680176,0,1,3,5,5
1766077608.9585578,131,0,0,11.789229408748215,11.789229408748215,81.5591812133789,0,1,3,5,5
1766077609.056015,132,0,0,11.827164856595784,11.827164856595784,82.17883110046387,0,1,3,5,5
1766077609.1582239,133,0,0,11.795502741552143,11.795502741552143,86.87686920166016,0,1,3,5,5
1766077609.255063,134,0,0,11.843247113807191,11.843247113807191,81.48002624511719,0,1,3,5,5
1766077609.354298,135,0,0,11.850516505684794,11.850516505684794,83.92119407653809,0,1,3,5,5
1766077609.454634,136,0,0,11.843236517636463,11.843236517636463,84.90610122680664,0,1,3,5,5
1766077609.5553548,137,0,0,11.831396987887308,11.831396987887308,85.28900146484375,0,1,3,5,5
1766077609.652224,138,0,0,11.878962237676209,11.878962237676209,81.25424385070801,0,1,3,5,5
1766077609.752892,139,0,0,11.864596618901748,11.864596618901748,85.21294593811035,0,1,3,5,5
1766077609.860202,140,0,0,11.775625267279437,11.775625267279437,91.11714363098145,0,1,3,5,5
1766077609.9566169,141,0,0,11.836972437256245,11.836972437256245,80.71613311767578,0,1,3,5,5
1766077610.057415,142,0,0,11.821585472467461,11.821585472467461,85.59370040893555,0,1,3,5,5
1766077610.153527,143,0,0,11.878490339163157,11.878490339163157,80.70611953735352,0,1,3,5,5
1766077610.260823,144,0,0,11.779892674503301,11.779892674503301,91.80617332458496,0,1,3,5,5
1766077610.36324,145,0,0,11.754175228988505,11.754175228988505,86.78507804870605,0,1,3,5,5
1766077610.490123,146,0,0,11.476882145337887,11.476882145337887,111.3431453704834,0,1,3,5,5
1766077610.590114,147,0,0,11.513941900580244,11.513941900580244,84.40613746643066,0,1,3,5,5
1766077610.6884742,148,0,0,11.582818920434969,11.582818920434969,81.94899559020996,0,1,3,5,5
1766077610.79457,149,0,0,11.528266384306548,11.528266384306548,90.60192108154297,0,1,3,5,5
1766077610.892629,150,0,0,11.585756413792994,11.585756413792994,82.62300491333008,0,1,3,5,5
1766077610.999649,151,0,0,11.51993405577686,11.51993405577686,91.51196479797363,0,1,3,5,5
1766077611.163404,152,0,0,11.041840260252629,11.041840260252629,148.3900547027588,0,1,3,5,5
1766077611.315012,153,0,0,10.68109516108707,10.68109516108707,134.51004028320312,0,1,3,5,5
1766077611.426811,154,0,0,10.652424973282567,10.652424973282567,96.2057113647461,0,1,3,5,5
1766077611.5215201,155,0,0,10.853819547619512,10.853819547619512,78.9492130279541,0,1,3,5,5
1766077611.624254,156,0,0,10.91529340136785,10.91529340136785,87.19491958618164,0,1,3,5,5
1766077611.720216,157,0,0,11.073791330950947,11.073791330950947,79.99825477600098,0,1,3,5,5
1766077611.8223019,158,0,0,11.117599256311276,11.117599256311276,86.86685562133789,0,1,3,5,5
1766077611.926584,159,0,0,11.132217056120638,11.132217056120638,88.78016471862793,0,1,3,5,5
1766077612.023032,160,0,0,11.246261268111569,11.246261268111569,81.48193359375,0,1,3,5,5
1766077612.12097,161,0,0,11.34053751121657,11.34053751121657,82.04102516174316,0,1,3,5,5
1766077612.224289,162,0,0,11.342418848032775,11.342418848032775,88.03319931030273,0,1,3,5,5
1766077612.325151,163,0,0,11.378603102526345,11.378603102526345,85.43896675109863,0,1,3,5,5
1766077612.422654,164,0,0,11.459584947090898,11.459584947090898,82.04507827758789,0,1,3,5,5
1766077612.5219321,165,0,0,11.506359102280145,11.506359102280145,83.84108543395996,0,1,3,5,5
1766077612.6222148,166,0,0,11.5371407340142,11.5371407340142,84.64407920837402,0,1,3,5,5
1766077612.728137,167,0,0,11.489399907176312,11.489399907176312,90.41810035705566,0,1,3,5,5
1766077612.8668292,168,0,0,11.148461519245062,11.148461519245062,123.76213073730469,0,1,3,5,5
1766077612.994657,169,0,0,10.926083136334125,10.926083136334125,112.04886436462402,0,1,3,5,5
1766077613.125717,170,0,0,10.698931093915132,10.698931093915132,115.54598808288574,0,1,3,5,5
1766077613.222056,171,0,0,10.867783026506176,10.867783026506176,80.72686195373535,0,1,3,5,5
1766077613.322274,172,0,0,10.960482068227293,10.960482068227293,84.78331565856934,0,1,3,5,5
1766077613.4228952,173,0,0,11.037288467615152,11.037288467615152,85.26206016540527,0,1,3,5,5
1766077613.520823,174,0,0,11.144285050884033,11.144285050884033,82.5951099395752,0,1,3,5,5
1766077613.619446,175,0,0,11.22906856563809,11.22906856563809,83.38809013366699,0,1,3,5,5
1766077613.719286,176,0,0,11.288458423181606,11.288458423181606,84.58113670349121,0,1,3,5,5
1766077613.8225641,177,0,0,11.297995618719945,11.297995618719945,87.8438949584961,0,1,3,5,5
1766077613.923458,178,0,0,11.3407064001332,11.3407064001332,85.28709411621094,0,1,3,5,5
1766077614.019166,179,0,0,11.454591391580127,11.454591391580127,80.13105392456055,0,1,3,5,5
1766077614.1200058,180,0,0,11.478243636076925,11.478243636076925,85.53504943847656,0,1,3,5,5
1766077614.235662,181,0,0,11.327567359861954,11.327567359861954,100.28600692749023,0,1,3,5,5
1766077614.358699,182,0,0,11.123411403188546,11.123411403188546,107.68890380859375,0,1,3,5,5
1766077614.456636,183,0,0,11.223615758939468,11.223615758939468,82.47113227844238,0,1,3,5,5
1766077614.559105,184,0,0,11.251696058947239,11.251696058947239,86.92312240600586,0,1,3,5,5
1766077614.658572,185,0,0,11.314781878289072,11.314781878289072,84.15699005126953,0,1,3,5,5
1766077614.75843,186,0,0,11.371232669124874,11.371232669124874,84.18011665344238,0,1,3,5,5
1766077614.859094,187,0,0,11.405758335262279,11.405758335262279,85.34979820251465,0,1,3,5,5
1766077614.9565592,188,0,0,11.482185652831971,11.482185652831971,82.1690559387207,0,1,3,5,5
1766077615.056629,189,0,0,11.513391365506049,11.513391365506049,84.78713035583496,0,1,3,5,5
1766077615.157622,190,0,0,11.527253193496342,11.527253193496342,85.82210540771484,0,1,3,5,5
1766077615.2558038,191,0,0,11.58376283043981,11.58376283043981,82.69691467285156,0,1,3,5,5
1766077615.356352,192,0,0,11.598615153749378,11.598615153749378,85.2348804473877,0,1,3,5,5
1766077615.4576719,193,0,0,11.60351777268195,11.60351777268195,85.85429191589355,0,1,3,5,5
1766077615.556882,194,0,0,11.640037348202686,11.640037348202686,83.55116844177246,0,1,3,5,5
1766077615.657303,195,0,0,11.648996458268346,11.648996458268346,85.25419235229492,0,1,3,5,5
1766077615.7593422,196,0,0,11.640192612044046,11.640192612044046,86.49802207946777,0,1,3,5,5
1766077615.8589902,197,0,0,11.663681915343808,11.663681915343808,84.20991897583008,0,1,3,5,5
1766077615.956535,198,0,0,11.721663499332381,11.721663499332381,81.67600631713867,0,1,3,5,5
1766077616.0552561,199,0,0,11.74740082710244,11.74740082710244,83.47916603088379,0,1,3,5,5
1766077616.154892,200,0,0,11.759027286415492,11.759027286415492,84.29098129272461,0,1,3,5,5
1766077616.255973,201,0,0,11.750924136238316,11.750924136238316,85.63113212585449,0,1,3,5,5
1766077616.357933,202,0,0,11.734069693718624,11.734069693718624,86.33804321289062,0,1,3,5,5
1766077616.453454,203,0,0,11.807279359558008,11.807279359558008,80.21712303161621,0,1,3,5,5
1766077616.558828,204,0,0,11.748770227030157,11.748770227030157,89.10918235778809,0,1,3,5,5
1766077616.671542,205,0,0,11.604779200630574,11.604779200630574,97.00393676757812,0,1,3,5,5
1766077616.802834,206,0,0,11.317083639739078,11.317083639739078,114.57610130310059,0,1,3,5,5
1766077616.9254541,207,0,0,11.121658185041156,11.121658185041156,106.80532455444336,0,1,3,5,5
1766077617.02051,208,0,0,11.267765950706861,11.267765950706861,79.47397232055664,0,1,3,5,5
1766077617.120116,209,0,0,11.327214976705003,11.327214976705003,84.30099487304688,0,1,3,5,5
1766077617.2221062,210,0,0,11.351884488242737,11.351884488242737,86.40122413635254,0,1,3,5,5
1766077617.322607,211,0,0,11.39138355429704,11.39138355429704,85.1290225982666,0,1,3,5,5
1766077617.420445,212,0,0,11.467608549943957,11.467608549943957,82.27992057800293,0,1,3,5,5
1766077617.521554,213,0,0,11.490656868667857,11.490656868667857,85.48402786254883,0,1,3,5,5
1766077617.6224298,214,0,0,11.51021070028894,11.51021070028894,85.5710506439209,0,1,3,5,5
1766077617.7213051,215,0,0,11.558528526170466,11.558528526170466,83.37926864624023,0,1,3,5,5
1766077617.827848,216,0,0,11.504447995697333,11.504447995697333,90.76285362243652,0,1,3,5,5
1766077617.9600189,217,0,0,11.212380052330223,11.212380052330223,116.49894714355469,0,1,3,5,5
1766077618.087886,218,0,0,10.977798975478525,10.977798975478525,112.78319358825684,0,1,3,5,5
1766077618.195549,219,0,0,10.964897833281603,10.964897833281603,92.17619895935059,0,1,3,5,5
1766077618.326808,220,0,0,10.73145132244876,10.73145132244876,115.86904525756836,0,1,3,5,5
1766077618.4241889,221,0,0,10.877640866626846,10.877640866626846,82.01193809509277,0,1,3,5,5
1766077618.5220191,222,0,0,11.001322582236108,11.001322582236108,82.54599571228027,0,1,3,5,5
1766077618.62348,223,0,0,11.063846109704608,11.063846109704608,86.00997924804688,0,1,3,5,5
1766077618.722553,224,0,0,11.151875441096603,11.151875441096603,83.72306823730469,0,1,3,5,5
1766077618.818151,225,0,0,11.281550761269923,11.281550761269923,80.33013343811035,0,1,3,5,5
1766077618.920303,226,0,0,11.309504231291582,11.309504231291582,86.49706840515137,0,1,3,5,5
1766077619.065376,227,0,0,10.951549215494474,10.951549215494474,129.36687469482422,0,1,3,5,5
1766077619.200423,228,0,0,10.69341866248046,10.69341866248046,119.47083473205566,0,1,3,5,5
1766077619.337135,229,0,0,10.444327742757649,10.444327742757649,121.91390991210938,0,1,3,5,5
1766077619.488537,230,0,0,10.14155787759144,10.14155787759144,134.83214378356934,0,1,3,5,5
1766077619.61725,231,0,0,10.016574015744245,10.016574015744245,112.46418952941895,0,1,3,5,5
1766077619.739051,232,0,0,9.96044428136099,9.96044428136099,105.76105117797852,0,1,3,5,5
1766077619.866635,233,0,0,9.859268704914436,9.859268704914436,111.74821853637695,0,1,3,5,5
1766077620.0049741,234,0,0,9.689748193911617,9.689748193911617,122.48802185058594,0,1,3,5,5
1766077620.1844869,235,0,0,9.330681851255747,9.330681851255747,163.95902633666992,0,1,3,5,5
1766077620.293183,236,0,0,9.475004483541849,9.475004483541849,92.81682968139648,0,1,3,5,5
1766077620.428254,237,0,0,9.359956615226526,9.359956615226526,120.12696266174316,0,1,3,5,5
1766077620.556929,238,0,0,9.309253581443565,9.309253581443565,112.95700073242188,0,1,3,5,5
1766077620.6508732,239,0,0,9.649152290247452,9.649152290247452,78.6890983581543,0,1,3,5,5
1766077620.753719,240,0,0,9.830760564071038,9.830760564071038,87.2201919555664,0,1,3,5,5
